nombre,tipo,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,correcta,orden,puntos,seccion
pregunta_1,single,"¿Cuánto es 2 + 3? Realiza la suma de los dos números indicados.",El resultado es 2,El resultado es 1,El resultado es 5,El resultado es 4,El resultado es 3,C,1,1.0,Operaciones Básicas
pregunta_2,single,"¿Cuánto es 7 multiplicado por 8? Calcula el producto de ambos factores.",48 es el producto,54 es el producto,56 es el producto,63 es el producto,64 es el producto,C,2,1.0,Operaciones Básicas
pregunta_3,single,"¿Cuál es la raíz cuadrada exacta de 144? Busca un número que multiplicado por sí mismo dé 144.",10 porque 10x10=100,11 porque 11x11=121,12 porque 12x12=144,13 porque 13x13=169,14 porque 14x14=196,C,3,1.0,Operaciones Básicas
pregunta_4,single,"¿Cuánto es 15 dividido entre 3? Realiza la división entera.",3 es el cociente,4 es el cociente,5 es el cociente,6 es el cociente,7 es el cociente,C,4,1.0,Operaciones Básicas
pregunta_5,single,"¿Cuánto representa el 25% de 200? Calcula la cuarta parte de 200.",20 es el 25%,40 es el 25%,50 es el 25%,60 es el 25%,65 es el 25%,C,5,1.0,Operaciones Básicas
pregunta_6,single,"¿Cuánto es 3 elevado al cubo? Calcula 3 x 3 x 3.",9 es el cubo,18 es el cubo,27 es el cubo,36 es el cubo,81 es el cubo,C,6,1.0,Potencias
pregunta_7,single,"¿Cuánto es 100 menos 37? Realiza la resta indicada.",53 es el resultado,63 es el resultado,73 es el resultado,83 es el resultado,93 es el resultado,B,7,1.0,Operaciones Básicas
pregunta_8,single,"¿Cuál es el factorial de 5? Multiplica 5 x 4 x 3 x 2 x 1.",25 es el factorial,60 es el factorial,100 es el factorial,120 es el factorial,720 es el factorial,D,8,1.0,Factoriales
pregunta_9,single,"¿Cuánto es 144 dividido entre 12? Realiza la división exacta.",10 es el cociente,11 es el cociente,12 es el cociente,13 es el cociente,14 es el cociente,C,9,1.0,Operaciones Básicas
pregunta_10,single,"¿Cuánto es 9 multiplicado por 9? Calcula el cuadrado de 9.",72 es el cuadrado,81 es el cuadrado,90 es el cuadrado,89 es el cuadrado,99 es el cuadrado,B,10,1.0,Potencias
pregunta_11,single,"¿Cuál es el valor de pi redondeado a dos decimales? Identifica el número常数.",3.12 es pi,3.14 es pi,3.16 es pi,3.18 es pi,3.20 es pi,B,11,1.0,Constantes
pregunta_12,single,"¿Cuánto es 2 elevado a la potencia 10? Calcula 2 multiplicado por sí mismo 10 veces.",256 es 2^10,512 es 2^10,1024 es 2^10,2048 es 2^10,4096 es 2^10,C,12,1.0,Potencias
pregunta_13,single,"¿Cuál es el mínimo común múltiplo de 4 y 6? El menor número divisible por ambos.",10 es el MCM,12 es el MCM,18 es el MCM,24 es el MCM,36 es el MCM,B,13,1.0,Números
pregunta_14,single,"¿Cuánto es 2.5 multiplicado por 4? Multiplica el número decimal por 4.",8 es el producto,9 es el producto,10 es el producto,11 es el producto,12 es el producto,C,14,1.0,Operaciones Decimales
pregunta_15,single,"¿Cuál es el máximo común divisor de 12 y 18? El mayor número que divide a ambos.",3 es el MCD,4 es el MCD,6 es el MCD,9 es el MCD,12 es el MCD,C,15,1.0,Números
pregunta_16,single,"¿Cuánto es -5 más 8? Suma los dos números, considerando el signo negativo.",2 es la suma,3 es la suma,4 es la suma,5 es la suma,-3 es la suma,B,16,1.0,Números Enteros
pregunta_17,single,"¿Cuánto es 3 dividido entre 4 expresado en decimal? Convierte la fracción a decimal.",0.25 es el decimal,0.33 es el decimal,0.50 es el decimal,0.75 es el decimal,0.80 es el decimal,D,17,1.0,Fracciones
pregunta_18,single,"¿Cuánto es 1000 dividido entre 8? Realiza la división exacta.",100 es el cociente,110 es el cociente,120 es el cociente,125 es el cociente,150 es el cociente,D,18,1.0,Operaciones Básicas
pregunta_19,single,"¿Cuál es el doble de 17? Multiplica 17 por 2.",24 es el doble,30 es el doble,34 es el doble,38 es el doble,42 es el doble,C,19,1.0,Operaciones Básicas
